# cycle	pc	r0	r1	r2	r3	r4	r5	r6	r7	pin_out	pin_oe
352	5	85	7	0	0	0	0	0	0	0	1
353	5	85	7	0	0	0	0	0	0	0	1
354	5	85	7	0	0	0	0	0	0	0	1
355	5	85	7	0	0	0	0	0	0	0	1
356	5	85	7	0	0	0	0	0	0	0	1
357	5	85	7	0	0	0	0	0	0	0	1
358	5	85	7	0	0	0	0	0	0	0	1
359	5	85	7	0	0	0	0	0	0	0	1
360	5	85	7	0	0	0	0	0	0	0	1
361	5	85	7	0	0	0	0	0	0	0	1
362	5	85	7	0	0	0	0	0	0	0	1
363	5	85	7	0	0	0	0	0	0	0	1
364	5	85	7	0	0	0	0	0	0	0	1
365	5	85	7	0	0	0	0	0	0	0	1
366	5	85	7	0	0	0	0	0	0	0	1
367	5	85	7	0	0	0	0	0	0	0	1
368	5	85	7	0	0	0	0	0	0	0	1
369	5	85	7	0	0	0	0	0	0	0	1
370	5	85	7	0	0	0	0	0	0	0	1
371	5	85	7	0	0	0	0	0	0	0	1
372	5	85	7	0	0	0	0	0	0	0	1
373	5	85	7	0	0	0	0	0	0	0	1
374	5	85	7	0	0	0	0	0	0	0	1
375	5	85	7	0	0	0	0	0	0	0	1
376	5	85	7	0	0	0	0	0	0	0	1
377	5	85	7	0	0	0	0	0	0	0	1
378	5	85	7	0	0	0	0	0	0	0	1
379	5	85	7	0	0	0	0	0	0	0	1
380	5	85	7	0	0	0	0	0	0	0	1
381	5	85	7	0	0	0	0	0	0	0	1
382	5	85	7	0	0	0	0	0	0	0	1
383	5	85	7	0	0	0	0	0	0	0	1
384	5	85	7	0	0	0	0	0	0	0	1
385	5	85	7	0	0	0	0	0	0	0	1
386	5	85	7	0	0	0	0	0	0	0	1
387	5	85	7	0	0	0	0	0	0	0	1
388	5	85	7	0	0	0	0	0	0	0	1
389	5	85	7	0	0	0	0	0	0	0	1
390	5	85	7	0	0	0	0	0	0	0	1
391	5	85	7	0	0	0	0	0	0	0	1
392	5	85	7	0	0	0	0	0	0	0	1
393	5	85	7	0	0	0	0	0	0	0	1
394	5	85	7	0	0	0	0	0	0	0	1
395	5	85	7	0	0	0	0	0	0	0	1
396	5	85	7	0	0	0	0	0	0	0	1
397	5	85	7	0	0	0	0	0	0	0	1
398	5	85	7	0	0	0	0	0	0	0	1
399	5	85	7	0	0	0	0	0	0	0	1
400	5	85	7	0	0	0	0	0	0	0	1
401	5	85	7	0	0	0	0	0	0	0	1
402	5	85	7	0	0	0	0	0	0	0	1
403	5	85	7	0	0	0	0	0	0	0	1
404	5	85	7	0	0	0	0	0	0	0	1
405	5	85	7	0	0	0	0	0	0	0	1
406	5	85	7	0	0	0	0	0	0	0	1
407	5	85	7	0	0	0	0	0	0	0	1
408	5	85	7	0	0	0	0	0	0	0	1
409	5	85	7	0	0	0	0	0	0	0	1
410	5	85	7	0	0	0	0	0	0	0	1
411	5	85	7	0	0	0	0	0	0	0	1
412	5	85	7	0	0	0	0	0	0	0	1
413	5	85	7	0	0	0	0	0	0	0	1
414	5	85	7	0	0	0	0	0	0	0	1
415	5	85	7	0	0	0	0	0	0	0	1
416	5	85	7	0	0	0	0	0	0	0	1
417	5	85	7	0	0	0	0	0	0	0	1
418	5	85	7	0	0	0	0	0	0	0	1
419	5	85	7	0	0	0	0	0	0	0	1
420	5	85	7	0	0	0	0	0	0	0	1
421	5	85	7	0	0	0	0	0	0	0	1
422	5	85	7	0	0	0	0	0	0	0	1
423	5	85	7	0	0	0	0	0	0	0	1
424	5	85	7	0	0	0	0	0	0	0	1
425	5	85	7	0	0	0	0	0	0	0	1
426	5	85	7	0	0	0	0	0	0	0	1
427	5	85	7	0	0	0	0	0	0	0	1
428	5	85	7	0	0	0	0	0	0	0	1
429	5	85	7	0	0	0	0	0	0	0	1
430	5	85	7	0	0	0	0	0	0	0	1
431	5	85	7	0	0	0	0	0	0	0	1
432	5	85	7	0	0	0	0	0	0	0	1
433	5	85	7	0	0	0	0	0	0	0	1
434	5	85	7	0	0	0	0	0	0	0	1
435	5	85	7	0	0	0	0	0	0	0	1
436	5	85	7	0	0	0	0	0	0	0	1
437	6	85	7	0	0	0	0	0	0	1	1
438	7	85	7	0	0	0	0	0	0	1	1
439	7	85	7	0	0	0	0	0	0	1	1
440	7	85	7	0	0	0	0	0	0	1	1
441	7	85	7	0	0	0	0	0	0	1	1
442	7	85	7	0	0	0	0	0	0	1	1
443	7	85	7	0	0	0	0	0	0	1	1
444	7	85	7	0	0	0	0	0	0	1	1
445	7	85	7	0	0	0	0	0	0	1	1
446	7	85	7	0	0	0	0	0	0	1	1
447	7	85	7	0	0	0	0	0	0	1	1
448	7	85	7	0	0	0	0	0	0	1	1
449	7	85	7	0	0	0	0	0	0	1	1
450	7	85	7	0	0	0	0	0	0	1	1
451	7	85	7	0	0	0	0	0	0	1	1
452	7	85	7	0	0	0	0	0	0	1	1
453	7	85	7	0	0	0	0	0	0	1	1
454	7	85	7	0	0	0	0	0	0	1	1
455	7	85	7	0	0	0	0	0	0	1	1
456	7	85	7	0	0	0	0	0	0	1	1
457	7	85	7	0	0	0	0	0	0	1	1
458	7	85	7	0	0	0	0	0	0	1	1
459	7	85	7	0	0	0	0	0	0	1	1
460	7	85	7	0	0	0	0	0	0	1	1
461	7	85	7	0	0	0	0	0	0	1	1
462	7	85	7	0	0	0	0	0	0	1	1
463	7	85	7	0	0	0	0	0	0	1	1
464	7	85	7	0	0	0	0	0	0	1	1
465	7	85	7	0	0	0	0	0	0	1	1
466	7	85	7	0	0	0	0	0	0	1	1
467	7	85	7	0	0	0	0	0	0	1	1
468	7	85	7	0	0	0	0	0	0	1	1
469	7	85	7	0	0	0	0	0	0	1	1
470	7	85	7	0	0	0	0	0	0	1	1
471	7	85	7	0	0	0	0	0	0	1	1
472	7	85	7	0	0	0	0	0	0	1	1
